date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:41:00	3768/3768	---M--	200	added ('OK')	image/webp	etag:%22627dfd47-eb8%22	https://www.fegno.com/wp-content/uploads/2022/05/bathx-logo.webp	C:/Users/super/Desktop/fegno/fegno/www.fegno.com/wp-content/uploads/2022/05/bathx-logo.webp	(from https://www.fegno.com/)
16:41:01	11280/11280	---M--	200	added ('OK')	image/webp	etag:%22627dfd47-2c10%22	https://www.fegno.com/wp-content/uploads/2022/05/abchauz-logo.webp	C:/Users/super/Desktop/fegno/fegno/www.fegno.com/wp-content/uploads/2022/05/abchauz-logo.webp	(from https://www.fegno.com/)
16:41:01	305204/305204	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20May%202023%2011:11:00%20GMT	https://www.fegno.com/solutions/mobile-app-development-company-in-kochi/	C:/Users/super/Desktop/fegno/fegno/www.fegno.com/solutions/mobile-app-development-company-in-kochi/index.html	(from https://www.fegno.com/)
16:41:01	7208/7208	---M--	200	added ('OK')	image/webp	etag:%22627dfd46-1c28%22	https://www.fegno.com/wp-content/uploads/2022/05/truckbookers-logo.webp	C:/Users/super/Desktop/fegno/fegno/www.fegno.com/wp-content/uploads/2022/05/truckbookers-logo.webp	(from https://www.fegno.com/)
16:41:01	1842/1842	---M--	200	added ('OK')	image/webp	etag:%22623428be-732%22	https://www.fegno.com/wp-content/uploads/2022/03/website-development.webp	C:/Users/super/Desktop/fegno/fegno/www.fegno.com/wp-content/uploads/2022/03/website-development.webp	(from https://www.fegno.com/)
16:41:01	4510/4510	---M--	200	added ('OK')	image/webp	etag:%2262665bd6-119e%22	https://www.fegno.com/wp-content/uploads/2022/04/mobile-app-development.webp	C:/Users/super/Desktop/fegno/fegno/www.fegno.com/wp-content/uploads/2022/04/mobile-app-development.webp	(from https://www.fegno.com/)
16:41:02	2500/2500	---M--	200	added ('OK')	image/webp	etag:%22623428bf-9c4%22	https://www.fegno.com/wp-content/uploads/2022/03/ui-ux-designing.webp	C:/Users/super/Desktop/fegno/fegno/www.fegno.com/wp-content/uploads/2022/03/ui-ux-designing.webp	(from https://www.fegno.com/)
16:41:02	310307/310307	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20May%202023%2011:11:01%20GMT	https://www.fegno.com/solutions/progressive-web-app-development-company/	C:/Users/super/Desktop/fegno/fegno/www.fegno.com/solutions/progressive-web-app-development-company/index.html	(from https://www.fegno.com/)
16:41:02	26454/26454	---M--	200	added ('OK')	image/webp	etag:%22623449f4-6756%22	https://www.fegno.com/wp-content/uploads/2022/03/software-development-company.webp	C:/Users/super/Desktop/fegno/fegno/www.fegno.com/wp-content/uploads/2022/03/software-development-company.webp	(from https://www.fegno.com/)
16:41:02	1860/1860	---M--	200	added ('OK')	image/webp	etag:%22623428bf-744%22	https://www.fegno.com/wp-content/uploads/2022/03/web-app-development.webp	C:/Users/super/Desktop/fegno/fegno/www.fegno.com/wp-content/uploads/2022/03/web-app-development.webp	(from https://www.fegno.com/)
16:41:02	19044/19044	---M--	200	added ('OK')	image/png	etag:%2263f34ca7-4a64%22	https://www.fegno.com/wp-content/uploads/2023/02/creative-designing.png	C:/Users/super/Desktop/fegno/fegno/www.fegno.com/wp-content/uploads/2023/02/creative-designing.png	(from https://www.fegno.com/)
16:41:03	1716/1716	---M--	200	added ('OK')	image/webp	etag:%22623428bf-6b4%22	https://www.fegno.com/wp-content/uploads/2022/03/digital-marketing.webp	C:/Users/super/Desktop/fegno/fegno/www.fegno.com/wp-content/uploads/2022/03/digital-marketing.webp	(from https://www.fegno.com/)
16:41:03	330041/330041	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20May%202023%2011:11:02%20GMT	https://www.fegno.com/solutions/ui-ux-designing-company/	C:/Users/super/Desktop/fegno/fegno/www.fegno.com/solutions/ui-ux-designing-company/index.html	(from https://www.fegno.com/)
16:41:03	28028/28028	---M--	200	added ('OK')	image/webp	etag:%22625fb50e-6d7c%22	https://www.fegno.com/wp-content/uploads/2022/04/top-software-development-company-in-kochi-kerala.webp	C:/Users/super/Desktop/fegno/fegno/www.fegno.com/wp-content/uploads/2022/04/top-software-development-company-in-kochi-kerala.webp	(from https://www.fegno.com/)
16:41:03	6908/6908	---M--	200	added ('OK')	image/png	etag:%22636b70b0-1afc%22	https://www.fegno.com/wp-content/uploads/2022/03/they-are-proud-to-be-with-us.png	C:/Users/super/Desktop/fegno/fegno/www.fegno.com/wp-content/uploads/2022/03/they-are-proud-to-be-with-us.png	(from https://www.fegno.com/)
16:41:03	408719/408719	---M--	200	added ('OK')	image/jpeg	etag:%2263e0c40a-63c8f%22	https://www.fegno.com/wp-content/uploads/2023/01/lazza-project.jpg	C:/Users/super/Desktop/fegno/fegno/www.fegno.com/wp-content/uploads/2023/01/lazza-project.jpg	(from https://www.fegno.com/)
16:41:03	204327/204327	---M--	200	added ('OK')	image/jpeg	etag:%2263908693-31e27%22	https://www.fegno.com/wp-content/uploads/2022/12/double-horse-project.jpg	C:/Users/super/Desktop/fegno/fegno/www.fegno.com/wp-content/uploads/2022/12/double-horse-project.jpg	(from https://www.fegno.com/)
16:41:04	61334/61334	---M--	200	added ('OK')	image/webp	etag:%2262332ff7-ef96%22	https://www.fegno.com/wp-content/uploads/2021/07/truckbookers-project.webp	C:/Users/super/Desktop/fegno/fegno/www.fegno.com/wp-content/uploads/2021/07/truckbookers-project.webp	(from https://www.fegno.com/)
16:41:04	356815/356815	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20May%202023%2011:11:03%20GMT	https://www.fegno.com/solutions/creative-designing-company-in-kochi/	C:/Users/super/Desktop/fegno/fegno/www.fegno.com/solutions/creative-designing-company-in-kochi/index.html	(from https://www.fegno.com/)
16:41:04	882419/882419	---M--	200	added ('OK')	image/jpeg	etag:%2263f86066-d76f3%22	https://www.fegno.com/wp-content/uploads/2023/01/granitogres-website-project.jpg	C:/Users/super/Desktop/fegno/fegno/www.fegno.com/wp-content/uploads/2023/01/granitogres-website-project.jpg	(from https://www.fegno.com/)
16:41:04	52170/52170	---M--	200	added ('OK')	image/webp	etag:%226246ddc0-cbca%22	https://www.fegno.com/wp-content/uploads/2021/08/abc-emporio-digital-marketing.webp	C:/Users/super/Desktop/fegno/fegno/www.fegno.com/wp-content/uploads/2021/08/abc-emporio-digital-marketing.webp	(from https://www.fegno.com/)
16:41:04	160275/160275	---M--	200	added ('OK')	image/jpeg	etag:%226401ead4-27213%22	https://www.fegno.com/wp-content/uploads/2020/09/Ramshad-Moideen_Bathx_Form.jpg	C:/Users/super/Desktop/fegno/fegno/www.fegno.com/wp-content/uploads/2020/09/Ramshad-Moideen_Bathx_Form.jpg	(from https://www.fegno.com/)
16:41:05	25090/25090	---M--	200	added ('OK')	image/jpeg	etag:%22636b6fe1-6202%22	https://www.fegno.com/wp-content/uploads/2020/10/madanikka-1.jpg	C:/Users/super/Desktop/fegno/fegno/www.fegno.com/wp-content/uploads/2020/10/madanikka-1.jpg	(from https://www.fegno.com/)
16:41:05	361549/361549	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20May%202023%2011:11:04%20GMT	https://www.fegno.com/solutions/top-digital-marketing-company-in-kochi/	C:/Users/super/Desktop/fegno/fegno/www.fegno.com/solutions/top-digital-marketing-company-in-kochi/index.html	(from https://www.fegno.com/)
16:41:05	36019/36019	---M--	200	added ('OK')	image/jpeg	etag:%22636b6ff9-8cb3%22	https://www.fegno.com/wp-content/uploads/2021/02/basheerkka_auto_x1.jpg	C:/Users/super/Desktop/fegno/fegno/www.fegno.com/wp-content/uploads/2021/02/basheerkka_auto_x1.jpg	(from https://www.fegno.com/)
16:41:05	69198/69198	---M--	200	added ('OK')	image/png	etag:%22624fd77d-10e4e%22	https://www.fegno.com/wp-content/uploads/2021/05/niji.png	C:/Users/super/Desktop/fegno/fegno/www.fegno.com/wp-content/uploads/2021/05/niji.png	(from https://www.fegno.com/)
